date,description,amount
2023-01-01,NETFLIX.COM,15.99
2023-01-02,GROCERY STORE,85.50
2023-01-03,GAS STATION,45.75
2023-01-05,SPOTIFY USA,9.99
2023-01-10,AMAZON PRIME,14.99
2023-01-15,HULU.COM,7.99
2023-01-20,GYM MEMBERSHIP,49.99
2023-02-01,NETFLIX.COM,15.99
2023-02-03,GROCERY STORE,92.25
2023-02-05,SPOTIFY USA,9.99
2023-02-10,AMAZON PRIME,14.99
2023-02-15,HULU.COM,7.99
2023-02-20,GYM MEMBERSHIP,49.99
2023-03-01,NETFLIX.COM,15.99
2023-03-02,GROCERY STORE,78.50
2023-03-05,SPOTIFY USA,9.99
2023-03-10,AMAZON PRIME,14.99
2023-03-15,HULU.COM,7.99
2023-03-20,GYM MEMBERSHIP,49.99
2023-04-01,NETFLIX.COM,15.99
2023-04-05,SPOTIFY USA,9.99
2023-04-10,AMAZON PRIME,14.99
2023-04-15,HULU.COM,7.99
2023-04-20,GYM MEMBERSHIP,49.99
